Date,Time,Humidity,Voltage
15/02,Morning,NAN,0
,,,0
,,,0
,,,0
,,,0
,Night,DRY,2.12
,,,2.12
,,,2.07
,,,2.14
,,,2.12
16/02,Morning,DRY+,0.75
,,,0.81
,,,0.6
,,,0.63
,,,0.67
,Night,DRY +,0.03
,,,0.02
,,,0.03
,,,0.01
,,,0.02
17/02,Morning,DRY +,0
,,,0.1
,,,0.01
,,,0.01
,,,0.01
,Night,,0.01
,,,0.01
,,,0.01
,,,0.01
,,,0.01
18/02,Morning,DRY +,0.12
,,,0.12
,,,0.18
,,,0.01
,,,0.03
,Night,DRY +,0.05
,,,0.08
,,,0.02
,,,0.02
,,,0.1
19/02,Morning,WET,0.69
,,,0.65
,,,0.83
,,,0.84
,,,1.13
,Night,NOR,1.74
,,,0.85
,,,0.79
,,,0.85
,,,1.02
20/02,Morning,DRY,0.35
,,,0.36
,,,0.4
,,,0.26
,,,0.27
,Night,DRY +,0.05
,,,0.04
,,,0.05
,,,0.05
,,,0.05
21/02,Morning,DRY +,0
,,,0
,,,0
,,,0
,,,0
,Night,DRY +,0.01
,,,0.01
,,,0.01
,,,0.01
,,,0.01
22/02,Morning,WET +,0.49
,,,1.16
,,,1.07
,,,1.04
,,,0.97
